id,naslov,zbirka,id_avtorja,avtor,ocena,stevilo_ocen,glasovi,format,stevilo_strani,leto,jezik,zanr
2767052,The Hunger Games,The Hunger Games,153394,Suzanne Collins,4.32,7030124,32406,Hardcover,374,2008,English,Young Adult
2,Harry Potter and the Order of the Phoenix,Harry Potter,1077326,J.K. Rowling,4.5,2796588,28363,Paperback,870,2004,English,Fantasy
2657,To Kill a Mockingbird,,1825,Harper Lee,4.27,5004737,24711,Paperback,324,2006,English,Classics
1885,Pride and Prejudice,,1265,Jane Austen,4.27,3390660,22410,Paperback,279,2000,English,Classics
41865,Twilight,The Twilight Saga,941441,Stephenie Meyer,3.62,5469753,15436,ebook,387,2006,English,Young Adult
19063,The Book Thief,,11466,Markus Zusak,4.38,2063300,15472,Hardcover,552,2006,English,Historical
170448,Animal Farm,,3706,George Orwell,3.97,3090652,14104,Mass Market Paperback,141,1996,English,Classics
11127,The Chronicles of Narnia,Chronicles of Narnia,1069006,C.S. Lewis,4.25,573169,13538,Paperback,767,2014,English,Fantasy
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,,656983,J.R.R. Tolkien,4.6,119335,12969,Mass Market Paperback,1728,2012,English,Fantasy
11870085,The Fault in Our Stars,,1406384,John Green,4.18,4045120,12012,Hardcover,313,2012,English,Young Adult
18405,Gone with the Wind,,11081,Margaret Mitchell,4.3,1134003,11446,Mass Market Paperback,1037,1999,English,Classics
386162,The Hitchhiker's Guide to the Galaxy,Hitchhiker's Guide to the Galaxy,4,Douglas Adams,4.22,1584033,11399,Paperback,193,2007,English,Science Fiction
370493,The Giving Tree,,435477,Shel Silverstein,4.37,985789,10993,Hardcover,64,1964,English,Childrens
6185,Wuthering Heights,,4191,Emily Brontë,3.87,1485057,10802,Paperback,464,2002,English,Classics
5297,The Picture of Dorian Gray,,3565,Oscar Wilde,4.1,1117096,9946,Paperback,272,2004,English,Classics
968,The Da Vinci Code,Robert Langdon,630,Dan Brown,3.88,2089788,9583,Paperback,489,2006,English,Fiction
10210,Jane Eyre,,1036615,Charlotte Brontë,4.13,1779787,9403,Paperback,532,2003,English,Classics
929,Memoirs of a Geisha,,614,Arthur Golden,4.13,1818621,9208,Mass Market Paperback,503,2005,English,Fiction
24213,Alice's Adventures in Wonderland / Through the Looking-Glass,,8164,Lewis Carroll,4.06,499350,9193,Paperback,239,2000,English,Classics
24280,Les Misérables,,13661,Victor Hugo,4.18,725899,8906,Mass Market Paperback,1463,1987,English,Classics
13079982,Fahrenheit 451,,1630,Ray Bradbury,3.98,1910118,9040,Kindle Edition,194,2011,English,Classics
22628,The Perks of Being a Wallflower,,12898,Stephen Chbosky,4.21,1411612,8833,Paperback,213,1999,English,Young Adult
13335037,Divergent,Divergent,4039811,Veronica Roth,4.17,3261852,8776,Paperback,487,2012,English,Young Adult
3,Harry Potter and the Sorcerer's Stone,Harry Potter,1077326,J.K. Rowling,4.47,7989406,8760,Hardcover,309,2003,English,Fantasy
4671,The Great Gatsby,,3190,F. Scott Fitzgerald,3.93,4198873,8888,Paperback,200,2004,English,Classics
18144590,The Alchemist,,566,Paulo Coelho,3.89,2389311,8468,Paperback,182,2014,English,Fiction
7624,Lord of the Flies,,306,William Golding,3.69,2476371,8592,Paperback,182,1999,English,Classics
7144,Crime and Punishment,,3137322,Fyodor Dostoevsky,4.23,711178,8394,Paperback,671,2002,English,Classics
18135,Romeo and Juliet,,947,William Shakespeare,3.75,2226441,8549,Mass Market Paperback,281,2002,English,Classics
157993,The Little Prince,,1020792,Antoine de Saint-Exupéry,4.31,1605844,8306,Paperback,96,2000,English,Classics
256683,City of Bones,The Mortal Instruments,150038,Cassandra Clare,4.09,1773154,7961,Hardcover,485,2007,English,Young Adult
8127,Anne of Green Gables,Anne of Green Gables,5350,L.M. Montgomery,4.26,819242,7851,Paperback,320,2003,English,Classics
4667024,The Help,,1943477,Kathryn Stockett,4.46,2357900,7949,Hardcover,464,2009,English,Fiction
375802,Ender's Game,Ender's Saga,589,Orson Scott Card,4.3,1226438,7705,Mass Market Paperback,324,2004,English,Science Fiction
28187,The Lightning Thief,Percy Jackson and the Olympians,15872,Rick Riordan,4.27,2289126,7550,Paperback,377,2006,English,Fantasy
24178,Charlotte's Web,,988142,E.B. White,4.18,1562694,7670,Paperback,184,2001,English,Classics
890,Of Mice and Men,,585,John Steinbeck,3.88,2121918,7527,Paperback,103,2002,English,Classics
17245,Dracula,,6988,Bram Stoker,4.0,1043952,7279,Paperback,488,1986,English,Classics
18619684,The Time Traveler's Wife,,498072,Audrey Niffenegger,3.98,1659927,7052,ebook,500,2013,English,Fiction
5129,Brave New World,,3487,Aldous Huxley,3.99,1584597,7099,Paperback,268,1998,English,Classics
320,One Hundred Years of Solitude,,13450,Gabriel García Márquez,4.09,824232,6848,Mass Market Paperback,417,2003,English,Fiction
5107,The Catcher in the Rye,,819789,J.D. Salinger,3.81,2985714,6948,Paperback,277,2001,English,Classics
21787,The Princess Bride,,12521,William Goldman,4.25,833470,6659,Paperback,456,2003,English,Fantasy
128029,A Thousand Splendid Suns,,569,Khaled Hosseini,4.39,1271229,6562,Hardcover,372,2007,English,Fiction
2998,The Secret Garden,,2041,Frances Hodgson Burnett,4.13,993256,6741,Hardcover,331,1998,English,Classics
13496,A Game of Thrones,A Song of Ice and Fire,346732,George R.R. Martin,4.44,2164890,6332,Mass Market Paperback,835,2005,English,Fantasy
33574273,A Wrinkle in Time,Time Quintet,106,Madeleine L';Engle,3.99,1111043,6230,Paperback,218,2017,English,Fantasy
231804,The Outsiders,,762707,S.E. Hinton,4.1,1060182,5965,Mass Market Paperback,192,1997,English,Classics
2956,The Adventures of Huckleberry Finn,,1244,Mark Twain,3.82,1198541,5835,Paperback,327,2002,English,Classics
12232938,The Lovely Bones,,316,Alice Sebold,3.83,2144974,5664,Mass Market Paperback,372,2006,English,Fiction
1381,The Odyssey,,903,Homer,3.78,926891,5721,Paperback,541,2006,English,Classics
19543,Where the Wild Things Are,,4489,Maurice Sendak,4.22,891162,5640,Paperback,38,2000,English,Childrens
23772,Green Eggs and Ham,,61105,Dr. Seuss,4.29,681364,5633,Hardcover,64,1988,English,Childrens
4214,Life of Pi,,811,Yann Martel,3.92,1440297,5479,Paperback,460,2006,English,Fiction
1953,A Tale of Two Cities,,239579,Charles Dickens,3.86,859181,5534,Paperback,489,2003,English,Classics
43641,Water for Elephants,,24556,Sara Gruen,4.09,1469013,5191,Paperback,335,2007,English,Fiction
77203,The Kite Runner,,569,Khaled Hosseini,4.31,2656120,5222,Paperback,371,2004,English,Fiction
7604,Lolita,,5152,Vladimir Nabokov,3.88,721421,5152,Paperback,331,1995,English,Classics
35031085,Frankenstein: The 1818 Text,,11139,Mary Wollstonecraft Shelley,3.83,1286780,5225,Paperback,260,2018,English,Classics
